player,position,age,squad,minutes,starts,goals,assists,xg,xa,xgi_per90,value_m,total_points
Mikkel Damsgaard,MID,24,4,829,7,0,4,0.76,0.93,0.18,4.8,45
Aaron Hickey,DEF,22,4,713,9,0,0,0.2,0.13,0.05,4.3,17
Keane Lewis-Potter,MID,23,4,1428,15,3,2,6.42,1.66,0.5,4.7,73
Ben Mee,DEF,34,4,1272,15,2,1,1.57,0.78,0.17,4.7,39
Frank Onyeka,MID,26,4,1147,11,1,2,2.09,1.44,0.27,4.9,39
Ivan Toney,FWD,28,4,1449,16,4,3,5.72,1.51,0.45,7.7,57
Yoane Wissa,FWD,27,4,2488,29,12,4,10.54,1.82,0.45,5.7,131
Neal Maupay,FWD,28,4,1417,14,6,3,6.89,1.99,0.57,4.9,76
Sergio Reguilón,DEF,27,4,1524,18,0,6,0.94,2.83,0.23,4.5,74
Simon Adingra,MID,22,5,2220,25,6,1,4.19,3.26,0.3,5.0,97
Facundo Buonanotte,MID,20,5,1356,17,3,1,2.34,1.16,0.24,4.7,57
Pervis Estupiñán,DEF,26,5,1242,15,2,3,1.0,2.22,0.23,4.7,57
Billy Gilmour,MID,23,5,2116,24,0,3,0.98,2.56,0.15,4.8,61
Pascal Groß,MID,33,5,3112,34,4,11,6.4,8.89,0.45,6.1,153
Adam Lallana,MID,36,5,839,13,0,1,0.83,1.6,0.26,4.9,30
Tariq Lamptey,DEF,24,5,908,10,0,3,0.34,0.9,0.12,3.9,31
James Milner,MID,38,5,770,11,0,2,0.29,2.18,0.28,4.8,28
Kaoru Mitoma,MID,27,5,1485,15,3,7,3.49,3.56,0.43,6.4,74
Jakub Moder,MID,25,5,608,6,0,0,0.78,0.67,0.22,4.4,21
Jason Steele,GK,33,5,1530,17,0,0,0.0,0.0,0.0,4.0,42
Jan Paul van Hecke,DEF,24,5,2368,26,0,0,1.42,0.93,0.09,4.0,61
Joël Veltman,DEF,32,5,1579,17,1,1,0.46,0.53,0.06,4.3,49
Adam Webster,DEF,29,5,1142,13,0,0,0.5,0.33,0.07,4.2,26
Danny Welbeck,FWD,33,5,1687,21,5,4,5.09,1.46,0.35,5.7,79
